job_id,title,company,location,salary_min,salary_max,created_date,description,average_salary
5803995095,Retail Customer Service,Entain,"Downside, Cobham",32094.62,32094.62,2026-07-17T00:55:11Z,"Job Description As a Retail Customer Service Manager , you will play an important role in the Entain family, delivering top customer service and driving standards daily. In our exciting, dynamic Ladbrokes & Coral betting shops no two days are the same and you'll have the chance to contribute to a team that wins together and does what's right by our customers. Reporting to the Shop Manager you will be part of the Shop team , who will serve customers and build relationships to encourage repeat cu…",32094.62
5803995084,High Intensity CBT Therapist - Part Time,WithYou,"Dragonby, Scunthorpe",50000.0,50000.0,2026-07-17T00:55:05Z,"About us WithYou provides free and confidential support, without judgement, to more than 100,000 people every year experiencing challenges with drugs, alcohol and mental health across England and Scotland. Our name reflects who we are – a positive place where people can progress, connect with others and get friendly, expert help in a way that’s right for them. Our staff team changes lives. If you’re passionate about helping people get the support they need for issues with drugs, alcohol and men…",50000.0
5803995086,Waking Night Mental Health Support Worker,Venture People,"Old Town, Eastbourne",27996.0,27996.0,2026-07-17T00:55:05Z,"About us Venture-People is an award-winning organisation, formed from our shared ambition to provide high-quality and psychologically informed support. We provide bespoke, community-based support to individuals with complex needs; including a mental health diagnosis, neurodiversity, or those who may have endured trauma. The people we support may have spent an extended period in hospital or another setting, therefore we utilise a person-centred approach; empowering individuals to become as indep…",27996.0
5803995083,Mental Health Team Leader - Eastbourne,Venture People,"Old Town, Eastbourne",29702.0,31595.0,2026-07-17T00:55:04Z,"About us Venture-People is an award-winning organisation, formed from our shared ambition to provide high-quality and psychologically informed support. We provide bespoke, community-based support to individuals with complex needs; including a mental health diagnosis, neurodiversity, or those who may have endured trauma. The people we support may have spent an extended period in hospital or another setting, therefore we utilise a person-centred approach; empowering individuals to become as indep…",30648.5
5803994281,Warehouse Operative,CRC Recruitment Ltd,"Daventry, Northamptonshire",27248.0,27248.0,2026-07-17T00:43:41Z,"Warehouse Operative Full Time Day Shift £13.10 Per Hour 0800 - 2000 Shift Pattern: 4 on 4 off CRC Recruitment Ltd are proud to partner with our client who are seeking Warehouse Operatives to join their team in Daventry. Position Summary To carry out the correct handling and processing of customers goods in line with Standard Operating Procedures. Deputise for the Team Leader in his/her absence. Support continuous improvement across the site, ensuring opportunities are reported and recorded. Pro…",27248.0
5803994276,Warehouse Operative,phs Group,"Barnsley, South Yorkshire",26000.0,26000.0,2026-07-17T00:43:41Z,"Warehouse Operative - Despatch Barnsley, South Yorkshire, S72 7BN £12.75 - Per Hour Hours of work - Monday to Friday - 9am to 5.30pm Temporary Contract - Ends 29th August 2026 The Job Working as a Warehouse Operative Despatch you will work as part of the Companys Operations Team which provide a highly effective and customer focused service. The job involves performing order picking and packing duties and vehicle loading in order to distribute products for end consumers, care homes and other bus…",26000.0
5803994279,Warehouse Operative - Bracknell - DBS Required,Blue Arrow,"Bracknell, Berkshire",31428.0,46612.0,2026-07-17T00:43:41Z,"We are currently recruiting experienced, full-time Warehouse Operative for our client based in the Bracknell (RG12) area. We are looking for individuals with previous warehouse experience who are ready to join a fast-paced and supportive team. Key Information Job Title: Warehouse Operative Location: Bracknell (RG12) Hours: Monday-Friday, 8:30am-5:00pm Pay Rate: £15.11 per hour Contract: Tempoary ongoing - Full-time hours Requirement: A Basic DBS check must be completed prior to starting Main Du…",39020.0
5803994277,Picker & Packer,Labour-tech Recruitment Ltd,"Ely, Cambridgeshire",26436.0,26436.0,2026-07-17T00:43:41Z,"Salary: From £12.71 per hour Job Type: Full-time, Seasonal (Summer to Christmas) Location: On-site About the Role We are looking for enthusiastic and reliable Picker & Packers to join our client's friendly warehouse team for the busy seasonal period from summer through to Christmas . This is an excellent opportunity to work in a fast-paced environment where you'll play a key role in assembling and packing high-quality gift hampers that are distributed to retailers across the UK. Full training i…",26436.0
5803994280,Warehouse Operative,Winner Recruitment,"Enfield, London",28038.0,29494.0,2026-07-17T00:43:41Z,"As a Night shift Warehouse Operative, you will be responsible for loading and unloading vehicles, sorting and scanning of parcels into cages/collars. This is a great Temp-to-Perm opportunity with a successful 12-week service period, offering competitive rates of pay starting at £13.48 per hour. The operation is open 7 days a week, and we can accommodate any days of work that suit you. You can choose to work part-time or full-time. The choice is yours, just let our friendly team know your availa…",28766.0
5803994282,Warehouse Operative,Winner Recruitment,"Sheffield, South Yorkshire",27040.0,28496.0,2026-07-17T00:43:41Z,"As a Night Shift Warehouse Operative you will be responsible for loading and unloading of vehicles, sortation and scanning of parcels into cages/collars. This is a great Temp to Perm opportunity after a successful 12 weeks of service with competitive rates of pay from £13.00 - £13.70 per hour. The operation is open 7 days and week, and we can accommodate any days of work that suits you, you can choose to work part time or full time, the choice is yours, just let our friendly team know your avai…",27768.0
5803994278,Warehouse Operative,Winner Recruitment,"Enfield, London",26436.0,27414.0,2026-07-17T00:43:41Z,"As an Afternoon shift Warehouse Operative, you will be responsible for loading and unloading vehicles, sorting and scanning of parcels into cages/collars. This is a great Temp to Perm opportunity after a successful 12 weeks of service, with competitive rates of pay starting at £12.71 per hour. The operation is open 7 days a week, and we can accommodate any days of work that suit you. You can choose to work part-time or full-time. The choice is yours, just let our friendly team know your availab…",26925.0
5803994274,Transport & Warehouse Manager,Heathrow Personnel,"Hounslow, London",45000.0,45000.0,2026-07-17T00:43:35Z,"An exciting opportunity has arisen for an experienced Transport & Warehouse Manager to join a well established logistics business specialising in the secure handling of high value goods. Key Responsibilities Manage daily transport and warehouse operations. Lead and support a team of drivers and warehouse staff. Ensure compliance with UK transport legislation, health & safety and security procedures. Oversee vehicle maintenance, servicing and compliance. Manage secure storage, inventory control …",45000.0
5803994273,Room Attendant,WGC Ltd,"Leicester, Leicestershire",12000.0,12000.0,2026-07-17T00:43:18Z,"Room Attendant Ibis Leicester City, CONSTITUTION HILL, IBIS HOTEL, LE1 1PL Rate: £12.21 | Hours: Guaranteed Hours Each Week Benefits: Fixed hours contract available - Flexible hours to suit you - Life Insurance - Free access to Doctor and Legal helpline - Counselling/Wellbeing Support Service - Discounts from 50 top retailers - Training budget of upto £10,000 per year with unlimited career progression WGC is the UK's leading outsourced hotel services company, helping our clients deliver some of…",12000.0
5803994270,Care Assistant,Care Concern Group,"Glasgow, Scotland",13.0,,2026-07-17T00:43:15Z,"This luxurious, private care facility is situated in the affluent suburb of Glasgow. The care home offers elegant accommodation for up to 80-residents along with outstanding Residential, Dementia, Nursing & Respite care. Care Assistant Contract £13.60 per hour Contracted to up to 44 hours per week Paid PVG pension, uniform provided 5.6 weeks annual leave (based on a full time contract) Role Overview As a Care Assistant, you will make a meaningful difference in our residents lives everyday. This…",
5803994271,Female Live in Carer,Paragon Home Healthcare,"South West London, London",39566.0,39566.0,2026-07-17T00:43:15Z,"Join Our Team and Earn a £400 Bonus! As a thank you for choosing Paragon, once youre fully recruited, youll receive £150 for paid training in your first paycheck and an additional £250 joining bonus after successfully completing your probation period . Apply today and take the next step in your career with a company that truly values and rewards your commitment. About the Role Are you a compassionate, confident and proactive Live-in Carer / Personal Assistant looking for a meaningful role where…",39566.0
5803994269,Female Live In Carer,Paragon Home Healthcare,"Camberley, Surrey",40131.0,40131.0,2026-07-17T00:43:14Z,"Join Our Team and Earn a £400 Bonus! As a thank you for choosing us, once you're fully recruited to work,youll receive £150 for your paid training included in your first paycheck and an additional£250 joining bonus once you've successfully passed your probation period. Apply today and take the next step in your career with a company that rewards your commitment! About the Role: The client is a warm and lovely woman in her 60s living with a progressive MND . She lives in her fully adapted home w…",40131.0
5803994268,Care Assistant,Agincare Group,"Aylesbury, Buckinghamshire",24364.53,24364.53,2026-07-17T00:43:14Z,"Package Description: Could you be the reason someone smiles? Join our team as a Care Assistant and help residents live with comfort, dignity, and joy. From daily support to meaningful moments, your kindness can make a real difference. Bring your compassion; well provide the training and support you need. What youll receive: Outstanding career development with funded training (up to QCF Level 5) 36 hours per week including alternate weekends Days and nights available Refer-a-Friend bonus up to £…",24364.53
5803994267,SAP Payroll/HCM Consultant,Randstad Digital,"The City, Central London",98800.0,109200.0,2026-07-17T00:43:06Z,"Job Title: SAP Payroll & HCM Consultant Location: London, UK (Hybrid) Contract Type: Contract/Freelance About the Role We are looking for an experienced SAP Payroll & HCM Consultant to lead a critical system separation project. Acting as the primary bridge between our internal business units and our external payroll vendor, you will be instrumental in creating new Legal Entities (LEs) and enabling separate end-to-end (E2E) payroll runs for distinct business groups within our legacy system. If y…",104000.0
5803994264,1st Line Support Engineer,Sterling Bridge Limited,"East London, London",30000.0,30000.0,2026-07-17T00:42:49Z,"Role: 1st Line Engineer Location: East London Salary: £25,000 £30,000 Cloud-First MSP | Cloud & Cyber Security Exposure | Unrivalled Career Development Were partnered with a modern, rapidly growing Managed Service Provider that's passionate about developing the next generation of IT professionals. With continued investment in cloud technologies, cyber security, and digital transformation projects, they're now looking for an ambitious 1st Line Engineer to join their expanding technical team. Thi…",30000.0
